81
0 0 0
20 0 0
20 20 0
0 20 0
1 0.75 0.6
5 5 5
15 15 -4
10 10 0
11 11 -1.5
12 12 -2.75
13 13 -3.5
14 14 -3.9
18 18 1
19 19 1
16.5 16.5 -1
15.5 15.5 -3
8 8 4
7 7 4.5
3.5 3.5 4
2.5 4 3.5
1.5 5 3
2 2 2
10 15 -1
5 17 0
0 2 0
0 3 0
0 4 0
0 6 0
0 7 0
0 10 0
0 11 0
0 14 0
0 15 0
0 17 0
0 19 0
17 0 0
17 5 0
20 5 0
10 4 3
12 3.5 1.5
14.5 1.5 0.5
17 10 0.5
18 8 0.25
20 7 0
20 9 0
20 13 0
20 16 0
20 18 0
16.5 17 0.5
17.5 14 1.5
16 11.5 1
15 9 1.5
14 7.5 2
17.5 16 1
2 20 0
5 20 0
8 20 0
12 20 0
15 20 0
18 20 0
17 19 1
16 18.5 1.5
14 17 1.25
10 18 0.25
8 14 0.25
7 17 -0.25
5 10 2
4 13.5 2.5
5 12 1.25
2 0 0
4 0 0
7 0 0
12 0 0
4 7 4
3 6 3.5
9 7 3.5
9 3 2
7 2.5 2
15 13 -0.5
13.5 11.5 -0.5
12 16 -0.5
