53
1 1 1
5.5 1 1
5 6 -0.25
1 8 0
1.5 1.5 1.25
2 2 1.5
2.5 1.25 1.15
3 1.75 1.25
3.5 1.5 1.25
3 0.5 1.25
5 1.5 1.25
2.5 2.5 1.5
3.75 2.5 1.5
1.25 3 1
1.75 3.5 1.25
3.5 3 1.5
4.75 3 0.75
2.75 3.75 1.5
4.25 3.5 1
1.75 4 1
3.25 4.25 1
4.25 4.25 0.75
2.25 4.5 0.75
1.5 5 0.5
2.5 5.25 0.25
3.75 5.25 0.5
1.25 5.75 0.25
2 6.25 0
3 6 0
4.75 6.5 -0.25
2 7 0
2.75 7.5 -0.25
3.5 7.25 -0.25
4.5 7.5 -0.5
0.5 0.5 0.75
1 0 0.75
3 0 1
5 0 1
5.5 2.5 0.75
5.5 3.5  0.5
0 3 0.8
0 4 0.5
0 5 0.25
0 6 0
0 0 0.75
0 1 0.8
0 7 -0.25
0 8 -0.25
2 8 0
3 8 -0.3
4 8 -0.5
5.5 8 -1
5.5 0 0.9
